results_id,total_number_of_criteria,total_solution_space,required_set,required_set_percentage,mcdm_technique,margine,margine_percentage,dataset_id,decision_id,preference_weight_1,preference_weight_2,preference_weight_3,accuracy,accuracy_bruteforce,all_top_k,CP1_removal,CP2_removal,CP3_removal,CP1_mean,CP1_std,CP1_min,CP1_25,CP1_50,CP1_75,CP1_max,CP2_mean,CP2_std,CP2_min,CP2_25,CP2_50,CP2_75,CP2_max,CP3_mean,CP3_std,CP3_min,CP3_25,CP3_50,CP3_75,CP3_max
2225,2,100,1,0.01,1,0,0,1,1,0.384615,0.615385,NULL,0,0,"TRADITIONAL: [19] : HEURISTIC: [18] : BRUTEFORCE_HEURISTIC: [41]",0,99,NULL,0.56,0.31,0.03,0.33,0.55,0.88,1,0.5,0.31,0.02,0.23,0.49,0.76,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2226,2,100,1,0.01,1,0,0,1,1,0.384615,0.615385,NULL,0,0,"TRADITIONAL: [19] : HEURISTIC: [18] : BRUTEFORCE_HEURISTIC: [41]",1,98,NULL,0.56,0.31,0.03,0.33,0.55,0.88,1,0.5,0.31,0.02,0.23,0.49,0.76,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2227,2,100,1,0.01,1,0,0,1,1,0.384615,0.615385,NULL,0,0,"TRADITIONAL: [19] : HEURISTIC: [18] : BRUTEFORCE_HEURISTIC: [53]",2,97,NULL,0.56,0.31,0.03,0.33,0.55,0.88,1,0.5,0.31,0.02,0.23,0.49,0.76,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2228,2,100,1,0.01,1,0,0,1,1,0.384615,0.615385,NULL,0,0,"TRADITIONAL: [19] : HEURISTIC: [18] : BRUTEFORCE_HEURISTIC: [53]",3,96,NULL,0.56,0.31,0.03,0.33,0.55,0.88,1,0.5,0.31,0.02,0.23,0.49,0.76,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2229,2,100,1,0.01,1,0,0,1,1,0.384615,0.615385,NULL,0,0,"TRADITIONAL: [19] : HEURISTIC: [18] : BRUTEFORCE_HEURISTIC: [53]",4,95,NULL,0.56,0.31,0.03,0.33,0.55,0.88,1,0.5,0.31,0.02,0.23,0.49,0.76,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2230,2,100,1,0.01,1,0,0,1,1,0.384615,0.615385,NULL,0,100,"TRADITIONAL: [19] : HEURISTIC: [18] : BRUTEFORCE_HEURISTIC: [19]",5,94,NULL,0.56,0.31,0.03,0.33,0.55,0.88,1,0.5,0.31,0.02,0.23,0.49,0.76,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2231,2,100,1,0.01,1,0,0,1,1,0.384615,0.615385,NULL,0,100,"TRADITIONAL: [19] : HEURISTIC: [18] : BRUTEFORCE_HEURISTIC: [19]",6,93,NULL,0.56,0.31,0.03,0.33,0.55,0.88,1,0.5,0.31,0.02,0.23,0.49,0.76,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2232,2,100,1,0.01,1,0,0,1,1,0.384615,0.615385,NULL,0,100,"TRADITIONAL: [19] : HEURISTIC: [18] : BRUTEFORCE_HEURISTIC: [19]",7,92,NULL,0.56,0.31,0.03,0.33,0.55,0.88,1,0.5,0.31,0.02,0.23,0.49,0.76,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2233,2,100,1,0.01,1,0,0,1,1,0.384615,0.615385,NULL,0,100,"TRADITIONAL: [19] : HEURISTIC: [18] : BRUTEFORCE_HEURISTIC: [19]",8,91,NULL,0.56,0.31,0.03,0.33,0.55,0.88,1,0.5,0.31,0.02,0.23,0.49,0.76,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2234,2,100,1,0.01,1,0,0,1,1,0.384615,0.615385,NULL,0,100,"TRADITIONAL: [19] : HEURISTIC: [18] : BRUTEFORCE_HEURISTIC: [19]",9,90,NULL,0.56,0.31,0.03,0.33,0.55,0.88,1,0.5,0.31,0.02,0.23,0.49,0.76,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
